编号,诗名称,作者,诗类型,链接
1,行宫,元稹,,https://so.gushiwen.cn/shiwenv_45c396367f59.aspx
2,登鹳雀楼,王之涣,,https://so.gushiwen.cn/shiwenv_c90ff9ea5a71.aspx
3,新嫁娘词,王建,,https://so.gushiwen.cn/shiwenv_5917bc6dca91.aspx
4,相思,王维,,https://so.gushiwen.cn/shiwenv_f324eea45183.aspx
5,杂诗,王维,,https://so.gushiwen.cn/shiwenv_8d889937d1fe.aspx
6,鹿柴,王维,,https://so.gushiwen.cn/shiwenv_e9b1a8b4def0.aspx
7,竹里馆,王维,,https://so.gushiwen.cn/shiwenv_4809b5e7a16a.aspx
8,山中送别,王维,,https://so.gushiwen.cn/shiwenv_6368d3d62fcd.aspx
9,问刘十九,白居易,,https://so.gushiwen.cn/shiwenv_d09fef17613b.aspx
10,哥舒歌,西鄙人,,https://so.gushiwen.cn/shiwenv_94eb5d41fec6.aspx
11,静夜思,李白,,https://so.gushiwen.cn/shiwenv_c35a60c1a8e2.aspx
12,怨情,李白,,https://so.gushiwen.cn/shiwenv_68fe1f940020.aspx
13,登乐游原,李商隐,,https://so.gushiwen.cn/shiwenv_ee9af27de9f2.aspx
14,听筝,李端,,https://so.gushiwen.cn/shiwenv_ed8b644fd298.aspx
15,渡汉江,宋之问,,https://so.gushiwen.cn/shiwenv_4f7e2f94ec4a.aspx
16,八阵图,杜甫,,https://so.gushiwen.cn/shiwenv_9cee4425b019.aspx
17,宿建德江,孟浩然,,https://so.gushiwen.cn/shiwenv_63d3ff8f6b61.aspx
18,春晓,孟浩然,,https://so.gushiwen.cn/shiwenv_ccee5691ba93.aspx
19,春怨,金昌绪,,https://so.gushiwen.cn/shiwenv_11889cf7beab.aspx
20,江雪,柳宗元,,https://so.gushiwen.cn/shiwenv_58313be2d918.aspx
21,秋夜寄邱员外,韦应物,,https://so.gushiwen.cn/shiwenv_0f23fdb7b5f9.aspx
22,终南望余雪,祖咏,,https://so.gushiwen.cn/shiwenv_038457ce8c4e.aspx
23,宫词,张祜,,https://so.gushiwen.cn/shiwenv_054c756406d6.aspx
24,寻隐者不遇,贾岛,,https://so.gushiwen.cn/shiwenv_40954072f541.aspx
25,送崔九,裴迪,,https://so.gushiwen.cn/shiwenv_dbbccf73624e.aspx
26,送灵澈上人,刘长卿,,https://so.gushiwen.cn/shiwenv_214bea9d63ff.aspx
27,听弹琴,刘长卿,,https://so.gushiwen.cn/shiwenv_8430c8ce3d9c.aspx
28,送上人,刘长卿,,https://so.gushiwen.cn/shiwenv_862f59a02a57.aspx
29,玉台体,权德舆,,https://so.gushiwen.cn/shiwenv_26e5d8ef07d7.aspx
30,芙蓉楼送辛渐,王昌龄,七言绝句,https://so.gushiwen.cn/shiwenv_f433a64dd504.aspx
31,闺怨,王昌龄,七言绝句,https://so.gushiwen.cn/shiwenv_bea0a298570b.aspx
32,春宫曲,王昌龄,七言绝句,https://so.gushiwen.cn/shiwenv_ac8928c6f24a.aspx
33,九月九日忆山东兄弟,王维,七言绝句,https://so.gushiwen.cn/shiwenv_d75a706935de.aspx
34,凉州词,王翰,七言绝句,https://so.gushiwen.cn/shiwenv_9312f5349cd7.aspx
35,后宫词,白居易,七言绝句,https://so.gushiwen.cn/shiwenv_72c224467be6.aspx
36,宫中词,朱庆馀,七言绝句,https://so.gushiwen.cn/shiwenv_f076628e7095.aspx
37,近试上张水部,朱庆馀,七言绝句,https://so.gushiwen.cn/shiwenv_b8d00bf5329b.aspx
38,逢入京使,岑参,七言绝句,https://so.gushiwen.cn/shiwenv_10d21c96ba71.aspx
39,黄鹤楼送孟浩然之广陵,李白,七言绝句,https://so.gushiwen.cn/shiwenv_d3f231047aef.aspx
40,早发白帝城,李白,七言绝句,https://so.gushiwen.cn/shiwenv_0f81015a040c.aspx
41,夜上受降城闻笛,李益,七言绝句,https://so.gushiwen.cn/shiwenv_d89eb1125b6d.aspx
42,贾生,李商隐,七言绝句,https://so.gushiwen.cn/shiwenv_cd908d31f388.aspx
43,隋宫,李商隐,七言绝句,https://so.gushiwen.cn/shiwenv_0c472e85a3ad.aspx
44,瑶池,李商隐,七言绝句,https://so.gushiwen.cn/shiwenv_f56b75b0ef74.aspx
45,嫦娥,李商隐,七言绝句,https://so.gushiwen.cn/shiwenv_caef25db347c.aspx
46,夜雨寄北,李商隐,七言绝句,https://so.gushiwen.cn/shiwenv_e46c43d13b97.aspx
47,寄令狐郎中,李商隐,七言绝句,https://so.gushiwen.cn/shiwenv_4107b7fe1053.aspx
48,为有,李商隐,七言绝句,https://so.gushiwen.cn/shiwenv_bcff6a37c9b5.aspx
49,江南逢李龟年,杜甫,七言绝句,https://so.gushiwen.cn/shiwenv_514b8bc0ee4f.aspx
50,赠别·其一,杜牧,七言绝句,https://so.gushiwen.cn/shiwenv_a1cf171da994.aspx
51,赠别·其二,杜牧,七言绝句,https://so.gushiwen.cn/shiwenv_b4fbe7244670.aspx
52,金谷园,杜牧,七言绝句,https://so.gushiwen.cn/shiwenv_462ee35a4d55.aspx
53,寄扬州韩绰判官,杜牧,七言绝句,https://so.gushiwen.cn/shiwenv_24dacc9084c8.aspx
54,遣怀,杜牧,七言绝句,https://so.gushiwen.cn/shiwenv_42e12feb4ebb.aspx
55,秋夕,杜牧,七言绝句,https://so.gushiwen.cn/shiwenv_bbe4155bdc90.aspx
56,将赴吴兴登乐游原一绝,杜牧,七言绝句,https://so.gushiwen.cn/shiwenv_35d8561345a9.aspx
57,赤壁,杜牧,七言绝句,https://so.gushiwen.cn/shiwenv_3fb397218a1e.aspx
58,泊秦淮,杜牧,七言绝句,https://so.gushiwen.cn/shiwenv_8e8011f614fb.aspx
59,征人怨,柳中庸,七言绝句,https://so.gushiwen.cn/shiwenv_934e5850a0f4.aspx
60,金陵图,韦庄,七言绝句,https://so.gushiwen.cn/shiwenv_403a2c45c30b.aspx
61,滁州西涧,韦应物,七言绝句,https://so.gushiwen.cn/shiwenv_f6bd6356c843.aspx
62,桃花溪,张旭,七言绝句,https://so.gushiwen.cn/shiwenv_7415a0681d7c.aspx
63,寄人,张泌,七言绝句,https://so.gushiwen.cn/shiwenv_eb3a53d949c4.aspx
64,题金陵渡,张祜,七言绝句,https://so.gushiwen.cn/shiwenv_0bd46ccf1b16.aspx
65,赠内人,张祜,七言绝句,https://so.gushiwen.cn/shiwenv_a6a842d363d7.aspx
66,集灵台·其一,张祜,七言绝句,https://so.gushiwen.cn/shiwenv_a951610b16c3.aspx
67,集灵台·其二,张祜,七言绝句,https://so.gushiwen.cn/shiwenv_b7ffdd67f154.aspx
68,枫桥夜泊,张继,七言绝句,https://so.gushiwen.cn/shiwenv_6fb73f607ad3.aspx
69,陇西行,陈陶,七言绝句,https://so.gushiwen.cn/shiwenv_43c5b73dbd73.aspx
70,杂诗,佚名,七言绝句,https://so.gushiwen.cn/shiwenv_4508caf3b53b.aspx
